block,district,gram_panchayat,post_type,post_type_id,source_url,कुल नामांकन,कुल पड़े मत,कुल मतदाता,कुल रद्द नामांकन,कुल वापसी,कुल वैद्य उम्मीदवार,कुल वैध मत,कुल ख़ारिज/रद्द मत,ग्राम पंचायत का नाम,जिला,पद की आरक्षण श्रेणी,परिणाम प्रकार,मतदान प्रतिशत,विकास खंड
अमेठी,अमेठी,1-कटरामहरानी,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,20,1286,1704,0,7,13,1254,32,1-कटरामहरानी,अमेठी,अनारक्षित,सविरोध विजेता,75.47,अमेठी
अमेठी,अमेठी,2-परसावाँ,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,6,1131,1525,0,0,6,1065,66,2-परसावाँ,अमेठी,अनारक्षित,सविरोध विजेता,74.16,अमेठी
अमेठी,अमेठी,3-रामदैपुर,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,10,1269,1945,0,0,10,1193,76,3-रामदैपुर,अमेठी,महिला,सविरोध विजेता,65.24,अमेठी
अमेठी,अमेठी,4-सरायखेमा,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,14,2247,3647,0,5,9,2148,99,4-सरायखेमा,अमेठी,अन्य पिछड़ा वर्ग,सविरोध विजेता,61.61,अमेठी
अमेठी,अमेठी,5-जंगलरामनगर,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,19,4412,9742,0,5,14,4412,0,5-जंगलरामनगर,अमेठी,अन्य पिछड़ा वर्ग,सविरोध विजेता,45.29,अमेठी
अमेठी,अमेठी,6-त्रिलोकपुर,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,10,1541,2348,0,0,10,1465,76,6-त्रिलोकपुर,अमेठी,महिला,सविरोध विजेता,65.63,अमेठी
अमेठी,अमेठी,7-महमूदपुर,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,23,1729,3071,0,7,16,1726,3,7-महमूदपुर,अमेठी,अनारक्षित,सविरोध विजेता,56.3,अमेठी
अमेठी,अमेठी,8-बेनीपुर,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,8,925,1334,0,0,8,893,32,8-बेनीपुर,अमेठी,अनुसूचित जाति महिला,सविरोध विजेता,69.34,अमेठी
अमेठी,अमेठी,9-खेरौना,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,9,1208,2261,0,0,9,1167,41,9-खेरौना,अमेठी,अन्य पिछड़ा वर्ग,सविरोध विजेता,53.43,अमेठी
अमेठी,अमेठी,10-रेभा,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,10,1125,1817,0,4,6,1070,55,10-रेभा,अमेठी,अनारक्षित,सविरोध विजेता,61.92,अमेठी
अमेठी,अमेठी,11-रायदयपुर,gram_panchayat_head,5,https://sec.up.nic.in/site/DownloadCandidateFaDebt.aspx,13,1339,2128,0,0,13,1281,58,11-रायदयपुर,अमेठी,अनुसूचित जाति,सविरोध विजेता,62.92,अमेठी
